stationID,solarSystem,stationName
60000532,Uminas,Uminas VI - Moon 6 - Hyasyoda Corporation Mining Outpost
60000535,Osmon,Osmon IV - Moon 4 - Hyasyoda Corporation Mineral Reserve
60000538,Hatakani,Hatakani VI - Moon 5 - Hyasyoda Corporation Refinery
60000541,Hatakani,Hatakani VI - Moon 4 - Hyasyoda Corporation Refinery
60000544,Iivinen,Iivinen X - Moon 10 - Hyasyoda Corporation Mineral Reserve
60000547,Tennen,Tennen VIII - Moon 4 - Hyasyoda Corporation Refinery
60000550,Tennen,Tennen VIII - Moon 13 - Hyasyoda Corporation Mineral Reserve
60000553,Iivinen,Iivinen X - Moon 5 - Hyasyoda Corporation Mining Outpost
60000556,Kaunokka,Kaunokka IV - Hyasyoda Corporation Mining Outpost
60000559,Kaunokka,Kaunokka II - Moon 1 - Hyasyoda Corporation Mineral Reserve
60000562,Oisio,Oisio III - Moon 1 - Hyasyoda Corporation Refinery
60000565,Venilen,Venilen VIII - Moon 3 - Hyasyoda Corporation Mining Outpost
60000568,Venilen,Venilen VIII - Moon 8 - Hyasyoda Corporation Mining Outpost
60000571,Venilen,Venilen XI - Moon 14 - Hyasyoda Corporation Mining Outpost
60000574,Vouskiaho,Vouskiaho III - Hyasyoda Corporation Mineral Reserve
60000577,Kiainti,Kiainti VI - Moon 1 - Hyasyoda Corporation Refinery
60000580,Vouskiaho,Vouskiaho VI - Moon 15 - Hyasyoda Corporation Mineral Reserve
60000583,Otanuomi,Otanuomi VI - Moon 7 - Hyasyoda Corporation Refinery
60000586,Otanuomi,Otanuomi V - Moon 16 - Hyasyoda Corporation Refinery
60000589,Vouskiaho,Vouskiaho VIII - Moon 17 - Hyasyoda Corporation Refinery
60000592,Dantumi,Dantumi IV - Moon 19 - Hyasyoda Corporation Mineral Reserve
60000595,Kiskoken,Kiskoken I - Hyasyoda Corporation Mining Outpost
60000598,Ossa,Ossa VII - Moon 5 - Hyasyoda Corporation Mineral Reserve
60000601,Dantumi,Dantumi III - Hyasyoda Corporation Refinery
60000604,Kiskoken,Kiskoken VII - Moon 2 - Hyasyoda Corporation Mining Outpost
60000607,Antiainen,Antiainen I - Hyasyoda Corporation Refinery
60000610,Paara,Paara I - Deep Core Mining Inc. Mining Outpost
60000613,Ono,Ono V - Moon 2 - Deep Core Mining Inc. Mining Outpost
60000616,Ono,Ono VI - Moon 6 - Deep Core Mining Inc. Mining Outpost
60000619,Kusomonmon,Kusomonmon V - Moon 14 - Deep Core Mining Inc. Mining Outpost
60000622,Haatomo,Haatomo VI - Moon 16 - Deep Core Mining Inc. Refinery
60000625,Kusomonmon,Kusomonmon V - Moon 20 - Deep Core Mining Inc. Mining Outpost
60000628,Kaunokka,Kaunokka VI - Moon 1 - Deep Core Mining Inc. Mineral Reserve
60000631,Yria,Yria II - Moon 11 - Deep Core Mining Inc. Refinery
60000634,Kaunokka,Kaunokka III - Moon 1 - Deep Core Mining Inc. Mining Outpost
60000637,Hogimo,Hogimo V - Moon 11 - Deep Core Mining Inc. Mining Outpost
60000640,Hogimo,Hogimo IV - Deep Core Mining Inc. Mining Outpost
60000643,Hogimo,Hogimo V - Moon 16 - Deep Core Mining Inc. Mining Outpost
60000646,Hampinen,Hampinen V - Poksu Mineral Group Mining Outpost
60000649,Saisio,Saisio VIII - Moon 16 - Poksu Mineral Group Mineral Reserve
60000652,Gekutami,Gekutami VI - Poksu Mineral Group Mineral Reserve
60000655,Hampinen,Hampinen VII - Moon 11 - Poksu Mineral Group Refinery
60000658,Ikao,Ikao VIII - Moon 1 - Poksu Mineral Group Mineral Reserve
60000661,Waira,Waira VIII - Moon 17 - Poksu Mineral Group Mineral Reserve
60000664,Tintoh,Tintoh VI - Moon 1 - Poksu Mineral Group Mining Outpost
60000667,Ikao,Ikao VIII - Poksu Mineral Group Mineral Reserve
60000670,Kusomonmon,Kusomonmon VI - Moon 20 - Poksu Mineral Group Mining Outpost
60000673,Anttiri,Anttiri III - Poksu Mineral Group Mineral Reserve
60000676,Anttiri,Anttiri V - Moon 18 - Poksu Mineral Group Mineral Reserve
60000679,Suroken,Suroken X - Moon 1 - Poksu Mineral Group Refinery
60000682,New Caldari,New Caldari Prime - Moon 1 - Poksu Mineral Group Mineral Reserve
60000685,Perimeter,Perimeter VII - Poksu Mineral Group Mineral Reserve
60000688,New Caldari,New Caldari I (Matigu) - Poksu Mineral Group Mineral Reserve
60000691,Niyabainen,Niyabainen VII - Moon 2 - Poksu Mineral Group Mineral Reserve
60000694,Tannolen,Tannolen VIII - Moon 14 - Poksu Mineral Group Mining Outpost
60000697,Oto,Oto VIII - Moon 6 - Poksu Mineral Group Mining Outpost
60000700,Eranakko,Eranakko III - Moon 6 - Poksu Mineral Group Mineral Reserve
60000703,Hasmijaala,Hasmijaala X - Moon 1 - Poksu Mineral Group Refinery
60000706,Kino,Kino V - Moon 3 - Poksu Mineral Group Mining Outpost
60000709,Sotrentaira,Sotrentaira VI - Moon 11 - Poksu Mineral Group Mineral Reserve
60000712,Kino,Kino IV - Moon 12 - Poksu Mineral Group Mining Outpost
60000715,Raussinen,Raussinen IX - Moon 13 - Poksu Mineral Group Mining Outpost
60000718,Isenairos,Isenairos VI - Poksu Mineral Group Mineral Reserve
60000721,Motsu,Motsu VI - Moon 13 - Poksu Mineral Group Mining Outpost
60000724,Aramachi,Aramachi VII - Moon 8 - Poksu Mineral Group Mining Outpost
60000727,Aramachi,Aramachi VI - Moon 6 - Poksu Mineral Group Mining Outpost
60000730,Nonni,Nonni III - Poksu Mineral Group Refinery
60000733,Litiura,Litiura VII - Moon 4 - Poksu Mineral Group Mineral Reserve
60000736,Piak,Piak III - Moon 6 - Poksu Mineral Group Mineral Reserve
60000739,Piak,Piak II - Poksu Mineral Group Refinery
60000742,Hogimo,Hogimo V - Moon 7 - Poksu Mineral Group Mining Outpost
60000745,Hogimo,Hogimo V - Moon 9 - Poksu Mineral Group Mining Outpost
60000748,Huttaken,Huttaken VI - Moon 2 - Poksu Mineral Group Mineral Reserve
60000751,Enderailen,Enderailen V - Poksu Mineral Group Refinery
60000754,Veisto,Veisto V - Moon 4 - Poksu Mineral Group Refinery
60000757,Veisto,Veisto V - Moon 5 - Poksu Mineral Group Refinery
60000760,Funtanainen,Funtanainen V - Poksu Mineral Group Mineral Reserve
60000763,Sobaseki,Sobaseki XIII - Moon 3 - Poksu Mineral Group Mineral Reserve
60000766,Korama,Korama VI - Moon 10 - Minedrill Mining Outpost
60000769,Isseras,Isseras IV - Moon 1 - Minedrill Mineral Reserve
60000772,Aakari,Aakari I - Minedrill Refinery
60000775,Aikantoh,Aikantoh III - Minedrill Mining Outpost
60000778,Aikantoh,Aikantoh III - Moon 2 - Minedrill Mining Outpost
60000781,Aikantoh,Aikantoh VI - Moon 2 - Minedrill Mining Outpost
60000784,Hentogaira,Hentogaira I - Moon 13 - Minedrill Mineral Reserve
60000787,Vasala,Vasala VI - Moon 10 - Minedrill Refinery
60000790,Hentogaira,Hentogaira II - Moon 6 - Minedrill Refinery
60000793,Kusomonmon,Kusomonmon IV - Moon 2 - Minedrill Mining Outpost
60000796,Kusomonmon,Kusomonmon IV - Moon 6 - Minedrill Mining Outpost
60000799,Juunigaishi,Juunigaishi XI - Moon 3 - Minedrill Refinery
60000802,Uesuro,Uesuro II - Moon 1 - Minedrill Refinery
60000805,Isie,Isie V - Minedrill Mining Outpost
60000808,Oishami,Oishami VII - Moon 12 - Minedrill Mining Outpost
60000811,Airkio,Airkio IX - Minedrill Refinery
60000814,Airkio,Airkio III - Moon 1 - Minedrill Mineral Reserve
60000817,Umokka,Umokka X - Moon 12 - Minedrill Mining Outpost
60000820,Hakonen,Hakonen IX - Moon 16 - Minedrill Refinery
60000823,Vuorrassi,Vuorrassi IV - Moon 2 - Minedrill Mineral Reserve
60000826,Taisy,Taisy III - Minedrill Refinery
60000829,Motsu,Motsu III - Minedrill Mineral Reserve
60000832,Aramachi,Aramachi V - Moon 1 - Minedrill Mining Outpost
60000835,Aramachi,Aramachi VI - Moon 4 - Minedrill Mining Outpost
60000838,Hageken,Hageken X - Moon 9 - Minedrill Mineral Reserve
60000841,Isikemi,Isikemi IV - Moon 3 - Minedrill Mineral Reserve
60000844,Sobaseki,Sobaseki VI - Minedrill Mineral Reserve
60000847,Oto,Oto VIII - Moon 4 - Minedrill Mining Outpost
60000850,Hasmijaala,Hasmijaala VIII - Moon 4 - Minedrill Mineral Reserve
60000853,Tannolen,Tannolen VI - Moon 7 - Minedrill Mining Outpost
60000856,Haatomo,Haatomo VI - Moon 1 - Caldari Provisions Warehouse
60000859,Kusomonmon,Kusomonmon VI - Moon 6 - Caldari Provisions Plantation
60000862,Suroken,Suroken XI - Caldari Provisions Plantation
60000865,Juunigaishi,Juunigaishi X - Moon 3 - Caldari Provisions Food Packaging
60000868,Uminas,Uminas V - Moon 3 - Caldari Provisions Plantation
60000871,Uminas,Uminas VI - Moon 7 - Caldari Provisions Plantation
60000874,Korsiki,Korsiki IV - Moon 16 - Caldari Provisions Food Packaging
60000877,Nuken,Nuken VI - Moon 12 - Caldari Provisions Plantation
60000880,Halaima,Halaima VII - Moon 6 - Caldari Provisions Warehouse
60000883,Sankkasen,Sankkasen VII - Moon 4 - Caldari Provisions Plantation
60000886,Waira,Waira VIII - Moon 15 - Caldari Provisions Food Packaging
60000889,Waira,Waira V - Moon 1 - Caldari Provisions Food Packaging
60000892,Sobaseki,Sobaseki X - Moon 15 - Caldari Provisions Warehouse
60000895,Sobaseki,Sobaseki IX - Moon 9 - Caldari Provisions Food Packaging
60000898,Hageken,Hageken X - Moon 20 - Caldari Provisions Warehouse
60000901,Funtanainen,Funtanainen II - Caldari Provisions Warehouse
60000904,Ukkalen,Ukkalen VII - Moon 1 - Caldari Provisions Plantation
60000907,Soshin,Soshin VII - Moon 4 - Caldari Provisions Plantation
60000910,Ukkalen,Ukkalen IV - Moon 1 - Caldari Provisions Plantation
60000913,Onuse,Onuse VII - Moon 21 - Caldari Provisions Plantation
60000916,Maila,Maila VI - Moon 2 - Caldari Provisions Plantation
60000919,Ikami,Ikami VI - Moon 13 - Caldari Provisions Food Packaging
60000922,Akora,Akora IX - Moon 12 - Caldari Provisions Plantation
60000925,Maila,Maila IV - Caldari Provisions Warehouse
60000928,Irjunen,Irjunen VI - Caldari Provisions Food Packaging
60000931,Kaaputenen,Kaaputenen III - Moon 7 - Caldari Provisions Plantation
60000934,Inari,Inari IX - Moon 7 - Caldari Provisions Plantation
60000937,Kaaputenen,Kaaputenen V - Moon 16 - Caldari Provisions Plantation
60000940,Haajinen,Haajinen XII - Moon 9 - Caldari Provisions Food Packaging
60000943,Haajinen,Haajinen XII - Moon 19 - Caldari Provisions Food Packaging
60000946,Torrinos,Torrinos V - Moon 10 - Caldari Provisions Food Packaging
60000949,Isinokka,Isinokka VI - Moon 7 - Caldari Provisions Warehouse
60000952,Kino,Kino VII - Moon 17 - Caldari Provisions Plantation
60000955,Sotrentaira,Sotrentaira VI - Moon 3 - Caldari Provisions Warehouse
60000958,Sotrentaira,Sotrentaira VI - Moon 5 - Caldari Provisions Plantation
60000961,Kino,Kino VII - Moon 10 - Caldari Provisions Plantation
60000964,Obe,Obe VI - Caldari Provisions Plantation
60000967,Osaa,Osaa IV - Moon 11 - Caldari Provisions Plantation
60000970,Wirashoda,Wirashoda VIII - Moon 5 - Caldari Provisions Plantation
60000973,Uchoshi,Uchoshi XI - Moon 4 - Caldari Provisions Food Packaging
60000976,Nonni,Nonni III - Moon 1 - Kaalakiota Corporation Factory
60000979,Piak,Piak IV - Moon 14 - Kaalakiota Corporation Warehouse
60000982,Nonni,Nonni I - Kaalakiota Corporation Factory
60000985,Nonni,Nonni VI - Kaalakiota Corporation Factory
60000988,Nonni,Nonni IV - Kaalakiota Corporation Factory
60000991,Nonni,Nonni VI - Moon 1 - Kaalakiota Corporation Factory
60000994,Ithar,Ithar XI - Kaalakiota Corporation Warehouse
60000997,Asrios,Asrios VII - Moon 1 - Kaalakiota Corporation Factory
60001000,Ithar,Ithar VI - Moon 10 - Kaalakiota Corporation Factory
60001003,Ithar,Ithar VIII - Moon 16 - Kaalakiota Corporation Warehouse
60001006,Shemah,Shemah VII - Moon 10 - Kaalakiota Corporation Factory
60001009,Asrios,Asrios III - Kaalakiota Corporation Factory
60001012,Ziona,Ziona VII - Moon 1 - Kaalakiota Corporation Factory
60001015,Ziona,Ziona VII - Moon 3 - Kaalakiota Corporation Warehouse
60001018,Ziona,Ziona V - Moon 1 - Kaalakiota Corporation Warehouse
60001021,Ziona,Ziona VI - Moon 6 - Kaalakiota Corporation Factory
60001024,Sukirah,Sukirah IX - Moon 7 - Kaalakiota Corporation Research Center
60001027,Ziona,Ziona III - Moon 1 - Kaalakiota Corporation Warehouse
60001030,Odebeinn,Odebeinn V - Moon 5 - Kaalakiota Corporation Factory
60001033,Frulegur,Frulegur IX - Moon 4 - Kaalakiota Corporation Warehouse
60001036,Frulegur,Frulegur X - Moon 3 - Kaalakiota Corporation Factory
60001039,Konora,Konora VI - Kaalakiota Corporation Factory
60001042,Frulegur,Frulegur VIII - Moon 4 - Kaalakiota Corporation Warehouse
60001045,Hodrold,Hodrold VIII - Moon 2 - Kaalakiota Corporation Factory
60001048,Bania,Bania VI - Moon 11 - Kaalakiota Corporation Warehouse
60001051,Agal,Agal I - Kaalakiota Corporation Factory
60001054,Ebasez,Ebasez VIII - Moon 4 - Kaalakiota Corporation Factory
60001057,Nasreri,Nasreri III - Moon 1 - Kaalakiota Corporation Factory
60001060,Heorah,Heorah VII - Moon 2 - Kaalakiota Corporation Factory
60001063,Heorah,Heorah VII - Kaalakiota Corporation Factory
60001066,Goram,Goram V - Moon 3 - Kaalakiota Corporation Factory
60001069,Tendhyes,Tendhyes VIII - Kaalakiota Corporation Factory
60001072,Ahrosseas,Ahrosseas VI - Moon 10 - Kaalakiota Corporation Factory
60001075,Goram,Goram VIII - Moon 4 - Kaalakiota Corporation Factory
60001078,Tividu,Tividu IV - Moon 3 - Kaalakiota Corporation Factory
60001081,Tividu,Tividu III - Kaalakiota Corporation Factory
60001084,Pimebeka,Pimebeka X - Kaalakiota Corporation Factory
60001087,Baviasi,Baviasi X - Moon 2 - Kaalakiota Corporation Factory
60001090,Baviasi,Baviasi VI - Moon 3 - Kaalakiota Corporation Factory
60001093,Hilaban,Hilaban III - Moon 3 - Kaalakiota Corporation Factory
60001096,Tash-Murkon Prime,Tash-Murkon Prime II - Moon 1 - Kaalakiota Corporation Factory
60001099,Baviasi,Baviasi II - Kaalakiota Corporation Factory
60001102,Tongofur,Tongofur VII - Kaalakiota Corporation Factory
60001105,Tongofur,Tongofur VIII - Kaalakiota Corporation Warehouse
60001108,Gerek,Gerek IV - Moon 8 - Kaalakiota Corporation Factory
60001111,Ebasgerdur,Ebasgerdur V - Moon 11 - Kaalakiota Corporation Factory
60001114,Ebodold,Ebodold X - Moon 17 - Kaalakiota Corporation Research Center
60001117,Rokofur,Rokofur IX - Kaalakiota Corporation Factory
60001120,Shafrak,Shafrak VIII - Moon 13 - Kaalakiota Corporation Factory
60001123,Nalnifan,Nalnifan II - Moon 8 - Kaalakiota Corporation Factory
60001126,Getrenjesa,Getrenjesa IX - Moon 1 - Kaalakiota Corporation Factory
60001129,Nalnifan,Nalnifan VI - Moon 20 - Kaalakiota Corporation Factory
